text,slot,intent
play,O B-artist I-artist,PlayMusic
add to,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist,AddToPlaylist
add this to playlist,O O B-music_item O B-playlist I-playlist O,AddToPlaylist
want to see the,O O O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play an on by from,O O B-music_item O B-service O B-artist I-artist O B-year,PlayMusic
book a of for,O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi O B-party_size_description I-party_size_description I-party_size_description,BookRestaurant
i need a table at in,O O O O O B-restaurant_name I-restaurant_name O B-city I-city,BookRestaurant
play a by on,O O B-music_item O B-artist O B-service,PlayMusic
add to playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
i need a table at a in for,O O O O O O B-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description,BookRestaurant
will be on,O B-city O B-condition_temperature O B-timeRange I-timeRange I-timeRange,GetWeather
will there be from on,O O O B-condition_description B-spatial_relation I-spatial_relation O B-country O B-timeRange I-timeRange,GetWeather
play a on,O O B-genre I-genre O B-service,PlayMusic
what is the local,O O O O B-object_type I-object_type,SearchScreeningEvent
has the been cancelled,O O B-object_type I-object_type B-object_name I-object_name I-object_name I-object_name I-object_name O O,SearchCreativeWork
add to,O B-artist I-artist O B-playlist_owner B-playlist,AddToPlaylist
play a by from their on,O O B-music_item O B-artist I-artist O O B-album I-album B-music_item O B-service I-service,PlayMusic
i want to listen to songs,O O O O O B-year B-music_item O,PlayMusic
reservea table for people on in,O O O B-party_size_number O O B-timeRange I-timeRange O B-country,BookRestaurant
put onto,O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist
need a table at in,O O O O B-restaurant_name O B-country I-country B-timeRange I-timeRange,BookRestaurant
play some music,O O B-genre O,PlayMusic
i need a reservation for a in for a party of,O O O O O O B-restaurant_type O B-city B-state O O O O B-party_size_number,BookRestaurant
play the from the,O O B-sort B-music_item O O B-year,PlayMusic
give out of to,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type,RateBook
can be added to,O B-entity_name I-entity_name I-entity_name O O O B-playlist I-playlist,AddToPlaylist
find,O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play,O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play a from my playlist on,O O B-music_item O O B-playlist O O B-service I-service,PlayMusic
i rate,O O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
book a table in for with a and,O O O O B-city I-city O B-party_size_number O O B-facility O B-restaurant_type I-restaurant_type,BookRestaurant
will it be in,O O O B-condition_temperature O B-city I-city B-country,GetWeather
book a table for at a in that serves food,O O O O B-party_size_number O O B-sort B-restaurant_type O B-city I-city B-state O O B-cuisine I-cuisine O,BookRestaurant
i need a table for on,O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
play on,O B-album I-album I-album I-album I-album O B-service,PlayMusic
i need a reservation for with a party of in,O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O O O O B-party_size_number O B-spatial_relation B-country,BookRestaurant
what s the forecast for around,O O O O O B-state O B-timeRange,GetWeather
give,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
what is the predicted weather for in,O O O O O O B-city O B-state,GetWeather
add to playlist,O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
please search for the work,O O O O O B-object_name,SearchCreativeWork
i give a rating of out of for the,O O O O O B-rating_value O O B-best_rating O O B-object_type B-object_name I-object_name I-object_name I-object_name,RateBook
find a called,O O B-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play me an by,O O O B-object_type O B-object_name,SearchCreativeWork
rate the out of,O O B-object_name I-object_name B-rating_value O O B-best_rating,RateBook
add to,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
play the on,O O B-music_item B-album O B-service,PlayMusic
i want to add another to the playlist,O O O O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
rate the out of,O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
i d like to add this to playlist,O O O O O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
what is the forecast for in,O O O O O B-timeRange I-timeRange O B-city B-state,GetWeather
add to playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
i d like to see the for,O O O O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
play the from on,O O B-sort O B-artist I-artist O B-service I-service,PlayMusic
what will the weather forecast be during the in,O O O O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
i am looking for,O O O O B-object_name I-object_name I-object_name,SearchCreativeWork
i d give the,O O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
where does play at the at,O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O O B-location_name I-location_name I-location_name O B-timeRange I-timeRange I-timeRange,SearchScreeningEvent
what is the at,O O O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent
find in,O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
listen to from music,O O B-artist B-music_item O B-sort I-sort B-year O,PlayMusic
play music from the artist from the in the,O O O O O B-artist O O B-music_item O O B-year,PlayMusic
what is the,O O O B-object_type I-object_type,SearchScreeningEvent
find for,O B-object_type I-object_type B-spatial_relation I-spatial_relation I-spatial_relation O B-movie_type,SearchScreeningEvent
rate the of,O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
find a called,O O B-object_type I-object_type O B-object_name I-object_name,SearchCreativeWork
put onto playlist,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
what is the in and at,O O O B-condition_temperature O B-city I-city O B-country O B-timeRange I-timeRange,GetWeather
play s on,O B-artist I-artist I-artist O B-sort B-music_item O B-service,PlayMusic
put this on,O O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
i give out of,O O B-object_select B-object_type B-rating_value B-rating_unit O O B-best_rating,RateBook
what time are showing,O O O B-movie_type O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
find me the documentary,O O O O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
is it in the more than it was,O O B-condition_temperature O O B-current_location I-current_location O O O O B-timeRange I-timeRange I-timeRange,GetWeather
rate a,O B-object_select B-object_type O B-rating_value,RateBook
add this to,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
what s the weather like in,O O O O O O B-city,GetWeather
make a reservation for at a in,O O O O B-party_size_number O O B-restaurant_type O B-city,BookRestaurant
find,O B-object_name I-object_name,SearchCreativeWork
i d like to know the for me,O O O O O O B-object_type I-object_type O B-movie_type B-spatial_relation O,SearchScreeningEvent
i need to book a table at a that serve for in,O O O O O O O O B-restaurant_type O O B-served_dish O B-party_size_number O B-city,BookRestaurant
want to play,O O O B-artist I-artist B-service,PlayMusic
where can i view the,O O O O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play some by,O O B-music_item O B-artist I-artist,PlayMusic
rate out of,O B-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
i need a weather forecast for,O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
play the by,O O B-sort B-music_item O B-artist I-artist,PlayMusic
find the,O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
add to,O B-music_item O B-playlist I-playlist,AddToPlaylist
put this by on list,O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
rate of,O B-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
add to playlist,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
book in for at,O O B-country O B-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
add to playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
i want to add to the playlist,O O O O B-artist I-artist O O B-playlist I-playlist O,AddToPlaylist
is it going to be in on,O O O O O B-condition_temperature O B-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
play,O B-service I-service,PlayMusic
add this to playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
the of music,B-track O B-music_item O O,PlayMusic
add to playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
play a from the,O O B-music_item O O B-year,PlayMusic
where can i buy the,O O O O O B-object_type B-object_name I-object_name I-object_name,SearchCreativeWork
what is the weather from,O O O O B-spatial_relation I-spatial_relation O B-current_location I-current_location,GetWeather
book a table for at,O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
give out of to,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name I-object_name,RateBook
find the for,O O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
add to,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
play,O B-track I-track I-track,PlayMusic
what s the weather to this,O O O O B-spatial_relation O B-city I-city O B-timeRange,GetWeather
i want to book a in,O O O O O B-served_dish B-restaurant_type O B-city I-city,BookRestaurant
which is playing today,O B-object_location_type I-object_location_type O O B-movie_name I-movie_name I-movie_name I-movie_name O,SearchScreeningEvent
rate my a,O O B-object_select B-object_type O B-rating_value,RateBook
play,O B-album I-album,PlayMusic
book in for in,O O B-state O B-party_size_number O B-city,BookRestaurant
play the by,O O B-music_item B-track I-track O B-artist I-artist,PlayMusic
i need to add another to playlist,O O O O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
play music by,O O O B-artist I-artist,PlayMusic
tell me the weather forecast for,O O O O O O B-city,GetWeather
is there a in on,O O O B-condition_description O B-city O B-timeRange I-timeRange I-timeRange,GetWeather
i give and a rating value of,O O B-object_name I-object_name I-object_name I-object_name I-object_name B-best_rating B-rating_unit O O O O O B-rating_value,RateBook
show me the,O O O B-object_type I-object_type,SearchScreeningEvent
find at,O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent
play a that is from,O O B-music_item O O B-sort O B-year,PlayMusic
rate the of,O O B-object_name I-object_name B-object_part_of_series_type B-rating_value O B-best_rating,RateBook
put this on,O O B-artist I-artist B-music_item O B-playlist,AddToPlaylist
rate of,O B-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
book a table for at at,O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange,BookRestaurant
will it be nice in,O O O O O B-city B-state,GetWeather
help me the find the,O O O O O B-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
what is,O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
rate,O B-object_name I-object_name B-rating_value B-rating_unit,RateBook
what is the weather forecast for on,O O O O O O B-city O B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
i want this on the playlist,O O O B-music_item O O B-playlist I-playlist O,AddToPlaylist
what is the forecast for,O O O O O B-city,GetWeather
play me a from the,O O O B-music_item O O B-year B-music_item,PlayMusic
add to playlist named,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
what time is playing,O O O B-movie_name I-movie_name I-movie_name O,SearchScreeningEvent
play the playlist,O O O B-playlist I-playlist I-playlist,PlayMusic
add to playlist,O B-entity_name I-entity_name O B-playlist_owner I-playlist_owner O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
add to current,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist
rate the of,O O B-object_select B-object_part_of_series_type B-rating_value O B-best_rating,RateBook
play by,O B-track I-track I-track O B-artist,PlayMusic
find the for,O O B-object_type O B-object_type I-object_type,SearchScreeningEvent
i am rating under the section a out of,O O O B-object_select B-object_type O O B-object_part_of_series_type O O B-rating_value O O B-best_rating B-rating_unit,RateBook
book a table at in,O O O O B-restaurant_name B-timeRange I-timeRange I-timeRange O B-city,BookRestaurant
book a place at at,O O B-country O O B-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
play a from,O O B-artist I-artist B-music_item O B-year,PlayMusic
put this in the playlist,O O B-music_item O O O B-playlist I-playlist,AddToPlaylist
do you know of a by the,O O O O O B-object_type O O B-object_name I-object_name I-object_name,SearchCreativeWork
what s the weather in on,O O O O O B-state O B-timeRange I-timeRange I-timeRange,GetWeather
add to playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
i want to add this to list,O O O O O B-artist I-artist B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
is it in,O O B-condition_temperature B-timeRange O B-city B-state,GetWeather
find the for,O O B-spatial_relation B-object_location_type O B-movie_type,SearchScreeningEvent
add the to playlist with the title,O O B-music_item O B-playlist_owner O O O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
give me the for,O O O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent
find with,O B-location_name I-location_name O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent
for the i give a rating of,O O B-object_type B-object_name I-object_name I-object_name I-object_name O O O O O B-rating_value B-rating_unit,RateBook
play music on,O O O B-service,PlayMusic
what will the weather be like in in,O O O O O O O B-country O B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
pull up the for,O O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
this deserves,O B-object_select B-object_type O B-rating_value B-rating_unit,RateBook
i would give a rating of and a best rating of,O O O B-object_name I-object_name B-object_part_of_series_type O O O B-rating_value O O O O O B-best_rating,RateBook
the deserves at least on a point scale,O B-object_type B-object_name I-object_name I-object_name I-object_name O O O B-rating_value B-rating_unit O O B-best_rating O O,RateBook
i want the,O O O B-object_type I-object_type B-object_name I-object_name,SearchCreativeWork
please play some music from the,O O O O O O B-year B-music_item,PlayMusic
what s the weather in,O O O O O B-city I-city B-state,GetWeather
i d like to watch at the,O O O O O B-movie_name I-movie_name O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent
add to playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
i want to hear the music from,O O O O O B-sort O O B-artist I-artist I-artist,PlayMusic
i need a reservation for with a party of in,O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-party_size_number O B-state,BookRestaurant
find a called,O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play,O B-service,PlayMusic
rate a out of,O B-object_name I-object_name I-object_name O B-rating_value O O B-best_rating,RateBook
find the titled,O O B-object_type I-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
book a in for people,O O B-restaurant_type O B-country I-country B-timeRange I-timeRange O B-party_size_number O,BookRestaurant
rate of,O B-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
add to playlist,O B-artist I-artist I-artist O B-playlist_owner I-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
play,O B-artist I-artist B-track I-track I-track,PlayMusic
play tunes by on for music,O B-year O O B-artist I-artist I-artist O B-service O B-music_item O,PlayMusic
what time is playing at,O O O B-movie_name I-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent
add the to the playlists,O O B-music_item O O B-playlist I-playlist O,AddToPlaylist
will it be in,O O O B-condition_temperature O B-city B-country,GetWeather
play by,O B-track I-track I-track O B-artist,PlayMusic
i need a reservation for at,O O O O O B-party_size_number O B-restaurant_name I-restaurant_name,BookRestaurant
what are playing at,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent
add to playlist,O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist
i m looking for a at the,O O O O O B-object_type I-object_type O O B-location_name I-location_name,SearchScreeningEvent
show creative,O B-object_name I-object_name I-object_name O B-object_type I-object_type,SearchCreativeWork
give rating for,O B-rating_value O O B-object_select B-object_type,RateBook
what are the for the recent,O O O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation O O O B-object_type I-object_type,SearchScreeningEvent
open and play playlist,O B-service I-service O O B-playlist I-playlist I-playlist O,PlayMusic
show the,O O B-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
add this to playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
search for,O O B-object_name I-object_name,SearchCreativeWork
where is the that s playing,O O O B-spatial_relation B-object_location_type I-object_location_type O O O B-movie_name I-movie_name,SearchScreeningEvent
play music from,O B-artist I-artist O O B-year,PlayMusic
book me a table for at a that serves,O O O O O B-party_size_number B-timeRange I-timeRange I-timeRange O O B-restaurant_type O O B-served_dish,BookRestaurant
book a table for for for an,O O O O B-timeRange O B-party_size_number O O B-restaurant_type I-restaurant_type,BookRestaurant
let me know the for,O O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
i would rate this,O O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
please get me seating at the in,O O O O O O B-restaurant_type O B-city I-city B-state,BookRestaurant
play a by from,O O B-music_item O B-artist I-artist O B-year,PlayMusic
rate the of,O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
book a for,O O B-cuisine B-restaurant_type O B-party_size_number,BookRestaurant
can i get the showtimes for,O O O O O O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
find,O B-object_name I-object_name I-object_name,SearchCreativeWork
book a in for people,O O B-restaurant_name I-restaurant_name O B-country O B-party_size_number O,BookRestaurant
where can i find the called,O O O O O B-object_type O B-object_name I-object_name,SearchCreativeWork
will it in,O O B-condition_description O B-city,GetWeather
find the,O O B-object_type B-object_name I-object_name I-object_name,SearchCreativeWork
when was the for published,O O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O,SearchCreativeWork
play,O B-object_name I-object_name,SearchCreativeWork
i rate,O O B-object_select B-object_type B-rating_value,RateBook
i want to eat at the for at,O O O O B-served_dish O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange,BookRestaurant
will it be in my,O O O B-condition_description B-timeRange I-timeRange I-timeRange I-timeRange O O B-current_location I-current_location,GetWeather
i am giving a rating,O O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O,RateBook
what s the weather in the,O O O O O O B-current_location I-current_location,GetWeather
tell me when it will be in my,O O O O O O B-condition_temperature O O B-current_location I-current_location,GetWeather
book a table at the in,O O O O O B-sort B-restaurant_type O B-country I-country,BookRestaurant
will it be in,O O O B-condition_temperature O B-city B-country I-country I-country I-country,GetWeather
rate,O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit,RateBook
book a reservation for a for people of,O O O O O B-cuisine I-cuisine B-restaurant_type O B-party_size_number O B-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi,BookRestaurant
i really need a that can seat people from now,O O O O B-sort B-restaurant_type O O O B-party_size_number O B-timeRange I-timeRange I-timeRange O O,BookRestaurant
tell me if it will be in,O O O O O O B-condition_temperature B-timeRange I-timeRange I-timeRange O B-city B-country I-country,GetWeather
find for at,O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation O B-timeRange I-timeRange I-timeRange,SearchScreeningEvent
add this onto playlist,O O B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist
give out of to,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name,RateBook
can i get the for,O O O O B-object_type I-object_type O B-timeRange I-timeRange I-timeRange,SearchScreeningEvent
find the,O O B-object_type I-object_type B-object_name I-object_name,SearchCreativeWork
rate out of,O B-object_select B-object_type B-rating_value B-rating_unit O O B-best_rating,RateBook
add to playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
give out of to,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_part_of_series_type,RateBook
find titled,O B-object_type I-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play by,O B-service B-sort I-sort O B-artist,PlayMusic
put this on,O O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
rate,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
add to to playlist,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist I-playlist O B-playlist_owner O,AddToPlaylist
rate to,O B-music_item O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
what are the for playing,O O O B-object_type I-object_type O B-movie_type O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
what s the weather forecast for my,O O O O O O O B-current_location I-current_location B-timeRange I-timeRange I-timeRange,GetWeather
where can i find the of,O O O O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork
show,O B-object_name,SearchCreativeWork
what is the weather forecast in,O O O O O B-timeRange I-timeRange I-timeRange O B-state,GetWeather
rate the,O O B-object_name I-object_name B-object_part_of_series_type B-rating_value B-rating_unit,RateBook
book a for for,O O B-restaurant_type O B-party_size_number O B-state,BookRestaurant
wish to find the work that is a,O O O O O B-object_name I-object_name O O O B-object_type,SearchCreativeWork
add the to list,O O B-music_item B-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
play on,O B-playlist I-playlist I-playlist I-playlist O B-service,PlayMusic
book a spot for at a on,O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
rate,O B-object_name I-object_name I-object_name B-object_part_of_series_type B-rating_value B-rating_unit,RateBook
what s the weather going to be like in on,O O O O O O O O O B-state O B-timeRange I-timeRange I-timeRange,GetWeather
rate a,O B-object_name I-object_name I-object_name I-object_name O B-rating_value,RateBook
what will the weather be in the on,O O O O O O O B-current_location I-current_location O B-timeRange,GetWeather
is playing at,O B-movie_name I-movie_name I-movie_name O O B-location_name I-location_name B-timeRange I-timeRange I-timeRange,SearchScreeningEvent
i need a table at in for a party of,O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state O O O O B-party_size_number,BookRestaurant
this deserve and a best rating of,O B-object_select B-object_type O B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
want to eat at,B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
book for located at,O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O O B-state,BookRestaurant
play me a by on,O O O B-sort I-sort B-music_item O B-artist I-artist O B-service,PlayMusic
find the,O O B-object_type I-object_type B-object_name I-object_name,SearchCreativeWork
what s the weather forecast for for,O O O O O O B-city B-state O B-timeRange I-timeRange,GetWeather
add a from to playlist,O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
play by,O B-track I-track I-track I-track I-track O B-artist I-artist,PlayMusic
look for the,O O O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
want to food at a that is as,B-timeRange I-timeRange B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi,BookRestaurant
at,B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
looking for,O O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
i need to book the for in,O O O O O B-restaurant_name I-restaurant_name O B-timeRange O B-city,BookRestaurant
i want the,O O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
can i hear the music from,O O O O B-sort O O B-artist I-artist,PlayMusic
where can i watch the,O O O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
find a called,O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
will you play me the from,O O O O O B-sort I-sort B-music_item I-music_item O B-year,PlayMusic
locate a in that serves,O O B-restaurant_type O B-city B-state I-state I-state I-state O O B-served_dish,BookRestaurant
i want to have added to it,O O B-playlist I-playlist I-playlist O O B-artist I-artist O O O,AddToPlaylist
what is the weather in,O O O O O B-city B-country,GetWeather
what is the weather supposed to be like on in,O O O O O O O O O B-timeRange I-timeRange O B-city B-country,GetWeather
can i put onto playlist,O O O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
add to the playlist,O B-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist
add to playlist,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist O,AddToPlaylist
make a reservation away at in,O O O B-spatial_relation O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state,BookRestaurant
rate a,O B-object_select B-object_type O B-rating_value,RateBook
add the current to list,O O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
weather in,O O B-city I-city B-state,GetWeather
can you find a of,O O O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
book the in,O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city,BookRestaurant
where is the showing,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_type,SearchScreeningEvent
how is the weather going to be in,O O O O O O O O B-city,GetWeather
what is the weather forecast for,O O O O O O B-country B-city,GetWeather
find the,O O B-object_type B-object_name I-object_name,SearchCreativeWork
play the from,O O B-music_item B-track I-track I-track I-track O B-artist I-artist,PlayMusic
i d like to find,O O O O O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_type I-object_type,SearchCreativeWork
please reserve a table for to get at a in,O O O O O B-party_size_number O O B-served_dish I-served_dish O O B-restaurant_type O B-country,BookRestaurant
give / to,O B-rating_value O B-best_rating B-rating_unit O B-object_name I-object_name,RateBook
book a for at,O O B-restaurant_type O B-party_size_number O B-timeRange,BookRestaurant
where can i find the of,O O O O O B-object_type O B-object_name I-object_name,SearchCreativeWork
book a table in at a for,O O O O B-city I-city O O B-restaurant_type O B-party_size_number,BookRestaurant
use to play me music,O B-service O O O O,PlayMusic
give out of to,O B-rating_value O O B-best_rating O B-object_select B-object_type,RateBook
add the name the to playlist,O O O O B-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
listen to,O O B-artist B-music_item,PlayMusic
will the weather be the,O O O O O B-spatial_relation B-current_location B-timeRange I-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation,GetWeather
i m looking for a called,O O O O O B-object_type O B-object_name,SearchCreativeWork
play music in the genre,O O O O O B-genre,PlayMusic
please play some music on,O O O B-year O O B-service,PlayMusic
add to playlist titled,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner I-playlist_owner O O B-playlist I-playlist,AddToPlaylist
give a rating of out of,O B-object_select B-object_type O O O B-rating_value O O B-best_rating,RateBook
what are the for the,O O O B-object_type I-object_type O O B-location_name I-location_name,SearchScreeningEvent
